OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
1,3,91016131,Neighborhood Park,Kapolei Green Neighborhood Park,3,468,Kapolei Green Neighborhood Park,5.62,,{92074138-A343-4C02-840A-94D78D652009},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,244702.40574646,1981.05058216325
2,1,91015018,Community Park,Kamokila Community Park,3,310,Kamokila Community Park,5.88999987,,{0CB0716C-B9A4-44DA-B492-35E66BE50CED},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,260209.21673584,2242.21554180726
3,1,,Botanical Garden,Wahiawa Botanical Garden,3,288,Wahiawa Botanical Garden,26.52000046,,{C99F860A-A394-4924-81CB-7056DD719CAD},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1155332.16693115,9161.5958641513
4,1,74008002,District Park,George Fred Wright Wahiawa District Park,3,75,George Fred Wright Wahiawa District Park,10.01000023,,{2D3B3AB2-D881-4C91-88D6-F15541F71316},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,392086.268753052,3775.88732928594
5,1,73019013,Neighborhood Park,Kaala Neighborhood Park,3,123,Kaala Neighborhood Park,2.16000009,,{1D6EAA85-BB72-4BA3-BD0B-81C5C4A1E155},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,95197.1863555908,1247.73819954116
6,1,84010017,Beach ROW,Makau Street B,3,206,Makau Street B,0.02,,{C5DAAA9F-D440-4D77-999C-D3681E8513D3},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,951.070587158203,361.467597625032
7,4,48002008,Beach Park,Waiahole Beach Park (undeveloped),4,101,Waiahole Beach Park (undeveloped),14.86999989,,{40152AA1-D1AE-403E-A3EE-BB505F5A4108},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,877596.48727417,8432.99375266458
8,4,47006010,Nature Park/Reserve,Waihee Valley Nature Park (undeveloped),4,358,Waihee Valley Nature Park (undeveloped),149.55000305,,{B3BAEDD1-DC37-4A0D-A984-D2ECBCFCF38A},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,6494333.9181366,13924.9489473869
9,3,,Neighborhood Park,Kahua O Waikalua NP (future),5,76,Kahua O Waikalua NP (future),15.64999962,,{E97043B6-D241-4DF9-A4E2-2134E7C239ED},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,681741.732849121,3384.04636918643
10,1,53009044,Beach ROW,Kaluanui on Kam Hwy A,4,468,Kaluanui on Kam Hwy A,0.20999999,,{FC2DEE74-9969-442B-9D58-864FE26F287F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,20396.3485717773,1464.00953217556
