objectid,unit_name,gis_acres,mammal_uni,bird_unit,status,descriptio,game_desig,note_,note_cont,island,linkto_isl,linktoadmi,linktoad_1,linktoad_2,st_areashape,st_lengthshape
1,Safety Zone,22.06290978,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),Safety Zone 200 yds frm Peacock Flats Picnic/Camp,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,89285.4281313813,0
2,Safety Zone,1.96795027,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),Nike Radar Station,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,7964.01220888334,0
3,Safety Zone,104.5067241,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),Safety Zone 200yd frm Satellite Tracking Station,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,422923.707591241,0
4,Safety Zone,34.96039086,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),Safety Zone 200yd frm Satellite Tracking Station,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,141479.682270117,0
5,Safety Zone,95.38241551,Safety Zone,Safety Zone,Safety Zone (NO HUNTING),Safety Zone 100 yrd frm Pupukea Boy Scout Camp,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,385998.940789976,0
6,Unit D,758.92706232,D,No Hunting,Hunting Area (Mammal ONLY),Portions of Pupukea-Paumalu F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,3071268.85627269,0
7,Unit C,2311.66446587,C,No Hunting,Hunting Area (Mammal ONLY),Portions of Kaipapau F.R. & Hauula F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,9354974.19015462,0
8,Unit A,1064.37148282,A,No Hunting,Hunting Area (Mammal ONLY),Portions of Kuaokala G.M.A / F.R. & Mokuleia F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,4307358.57106657,0
9,Unit F,3655.74092832,F,No Hunting,Hunting Area (Mammal ONLY),Portion of Ahupuaa O Kahana State Park,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,14794258.654413,0
10,Unit G,4622.77454186,G,No Hunting,Hunting Area (Mammal ONLY),Portion of Ewa F.R. (Poamoho),Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,18707704.8440181,0
22,Unit C,1630.69828543,C,No Hunting,Hunting Area (Mammal ONLY),Portions of Lihue-Koloa F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,6599201.82937013,0
23,Unit G,5272.09609251,G,No Hunting,Hunting Area (Mammal ONLY),Portions of Na Pali Coast SWP & Hono O Na Pali NAR,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,21335415.9314862,0
