objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
1,Waimea,Kona,Niʻihau,Lehua,271.7854, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1099886.56817895,0
2,Waimea,Kona,Niʻihau, ,46049.68, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,186356244.476001,0
6,Kalihikai,Haleleʻa,Kauaʻi, ,2423.709, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,9808776.09483708,0
7,Wainiha,Haleleʻa,Kauaʻi, ,15130.64, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,61233907.955238,0
43,Nāwiliwili,Puna,Kauaʻi, ,2601.821, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,10529641.5249984,0
3,Kīlauea,Koʻolau,Kauaʻi, ,3767.269, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,15246192.9883138,0
4,Hanalei,Haleleʻa,Kauaʻi, ,16835.72, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,68134518.7280191,0
16,Waipake,Koʻolau,Kauaʻi, ,703.2873, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2846213.89745591,0
5,Hāʻena,Haleleʻa,Kauaʻi, ,1847.271, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7475958.19973391,0
159,Papaʻakoko,Koʻolauloa,Oʻahu, ,81.51189, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,329865.537832868,0
8,Kāhili,Koʻolau,Kauaʻi, ,1864.531, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7545786.67299171,0
9,Nāmāhana,Koʻolau,Kauaʻi, ,391.5949, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1584787.94359782,0
10,Kalihiwai,Haleleʻa,Kauaʻi, ,8550.372, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,34603512.6512597,0
11,Lumahaʻi,Haleleʻa,Kauaʻi, ,9063.060, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,36678374.6735596,0
12,West Waiakalua,Koʻolau,Kauaʻi, ,329.7700, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1334583.36045758,0
13,East Waiakalua,Koʻolau,Kauaʻi, ,523.7355, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2119564.23616801,0
