X,Y,objectid,fignum,name,loc,aname,siglevel,sigregion,beginner,intermedia,expert,surftype,hazcond,comments
-155.898467116575347,19.379607203823777,1,8,Ho'okena Beach,"Kauhako Bay, Kauhako, South Kona", ,0,2,1-3, , , ,0, 
-155.919891896152421,19.474777576575391,2,9,Napo'opo'o Beach,"Kealakekua, South Kona", ,2,2, ,1-5, , ,0, 
-155.730716655441938,20.203407468035103,3,2,Pololu Bay,"Pololu, North Kohala", ,2,2, ,1-5, , ,0, 
-155.716272399422252,20.192551482059418,4,2,Honokane Iki Bay,"Honokane, North Kohala", ,1,2,1-3, , , ,0, 
-155.637127160448273,20.144980813595183,5,3,Waimanu Bay,"Waimanu, Hamakua", ,0,2, ,1-5, , ,0, 
-155.985939201080441,19.623961345580277,6,10,Tiki's,"Kahului Bay, Kahului, 1-2, North Kona", ,2,2, ,1-5, ,reef break,0, 
-155.646445252848281,18.935992456874608,7,7,Green Sands Beach,"Mahana Bay, Kama'oa, Pu'ueo, Ka'u", ,0,2, ,1-5, , ,0, 
-155.255671262027221,19.270321705288687,8,5,Halape,"Kapapala, Ka'u", ,1,2, ,1-5, , ,0, 
-155.824995683933992,20.004069095743212,9,12,Mauna Kea Beach,"Kauna'oa Bay, Ouli, South Kohala", ,2,2, ,1-5, , ,0, 
-155.971715400686776,19.593727681166886,10,10,White Sands Beach (shorebreak),"La'aloa, North Kona", ,3,3,1-3,3-5, ,shorebreak,0, 
-155.971760603127052,19.593723358842546,11,10,White Sands Beach (point break),"La'aloa, North Kohala", ,3,4, , ,1-10,point break,0, 
-155.595419641353999,20.121211339800691,12,3,Waipi'o Bay,"Waipi'o, Hamakua", ,2,2, ,1-5, , ,0, 
-156.006774664142227,19.811048917048343,13,11,MANINI'OWALI,"Kua Bay, Manini'owali & Kuki'o 2, North Kona", ,3,4, ,1-5, , ,0, 
-155.525415455407938,19.113695942786382,14,6,Kawa Bay,"Hilea Nui, Ka'u", ,0,2,1-3, , , ,0, 
-154.929662395356729,19.393780799705251,15,4,Kehena Beach,"Keauohana & Kehena, Puna", ,1,2, ,1-5, , ,0, 
-155.828530986498976,19.982023443440621,16,12,Wailea Bay,"Lalamilo, South Kohala", ,0,4, ,1-5, ,shore & point break,0, 
-155.826395699369129,19.991811237090516,17,12,Hapuna Bay,"Lalamilo, South Kohala", ,3,4, ,1-3,3-10, ,0, 
-159.406963797344162,22.225530404435325,18,44,Secret Beach,"Kauapea Beach, Kalihiwai & Kilauea, Hanalei", ,0,2, ,1-5, , ,0, 
-159.332387732557976,22.193473358845527,19,44,Moloa'a Bay,"Moloa'a, Kawaihau", ,0,2, ,1-5, , ,0, 
-159.29620857038185,22.112653091826083,20,45,Donkey Beach,"Kealia, Kawaihau", ,3,2, ,1-5, , ,0, 
-159.304517393723586,22.147776058641924,21,45,Anahola Beach,"Anahola, Kawaihau", ,3,2, ,1-5, , ,0, 
-159.659768853364511,22.172522031531738,22,42,Kalalau Beach,"Kalalau, Hanalei", ,3,4, ,1-3,3-10, ,0, 
-159.597704003209827,22.209148178352265,23,42,Hanakapi'ai Beach,"Hanakapi'ai, Hanalei", ,3,4, ,1-3,3-10, ,0, 
-159.531480176598677,22.216092656548781,24,43,Lumaha'i,"Lumaha'i Beach, Lumaha'i, Hanalei", ,0,3, ,3-5,6-10, ,0, 
-159.503998867416527,22.203003987003125,25,43,Pine Trees,"Hanalei Bay, Wai'oli, Hanalei", ,3,4, ,1-5, , ,0, 
-159.426705736723562,22.216971203802839,26,44,Kalihiwai Bay,"Kalihiwai, Hanalei", ,0,3,1-3, , , ,0, 
-159.304968935724759,22.09765934112994,27,45,Kealia Beach,"Kealia, Kawaihau", ,0,2, ,1-5, , ,0, 
-159.33480156243175,22.047534805704732,28,46,Wailua Bay,"Wailua, Kawaihau", ,3,4, ,1-5, , ,0, 
-159.34105271899179,21.99238975278023,29,47,Hanama'ulu Bay,"Hanama'ulu, Lihue", ,0,1,1-3, , , ,0, 
-159.50280473978799,21.888151832364464,30,48,Lawa'i Kai,"Lawa'i Bay, Lawa'i, Koloa", ,3,4,1-3,3-5, , ,0, 
-159.452183238055852,21.872800501009177,31,48,Brennecke Beach,"Weliweli, Koloa", ,2,2, ,1-5, , ,0,B.S. only high tide (exposed boulders)
-159.438234718105576,21.874346391287173,32,48,Shipwrecks,"Keoniloa Bay, Pa'a, Koloa", ,3,4, ,1-5, , ,0, 
-159.668117959082053,22.167277532748439,33,42,Honopuwaiakua,"Honopu, Hanalei",Honopu Beach,0,2, ,1-5, , ,0, 
-159.672408828315838,22.165771575303669,34,42,Honopuwaiakanaka,"Honopu, Hanalei",Honopu Beach,0,2, ,1-5, , ,0, 
-155.986846512273786,20.7196300731793,35,21,Hamoa Beach,"Mokae Cove, Mokae, Hana", ,3,3,1-3,3-5, , ,0, 
-155.985485845455457,20.728627406519323,36,21,Koki Beach,"Haneo'o, Hana", ,0,2, ,1-5, , ,0, 
-156.642469774354282,21.011385557494137,37,25,Mokule'ia Beach,"Honolua, Lahaina", ,3,3, ,1-5, , ,1,Hazardous during periods of high surf
-156.652030712344356,21.004900553295084,38,25,Honokahua Bay,"Honokahua, Lahaina", ,3,3, ,1-5, , ,0, 
-156.659917271441032,21.004533446769528,39,25,Pounders,"Oneloa Bay, Honokahua, Lahaina", ,3,2, ,1-5, , ,0, 
-156.666767073002831,20.995809011346768,40,25,Napili Bay,"Napili, Lahaina", ,0,1, ,1-5, , ,0, 
-156.393093407695829,20.915254753844877,41,20,Baldwin Park,"Wailuku, Wailuku & Hali'imaile, Makawao", ,3,3, ,1-5, , ,1,Hazardous during periods of high surf
-156.383047809198274,20.916328865113378,42,20,Pa'ia Bay,"Hamakua Poko, Makawao", ,3,3, ,1-5, ,shore & offshore br.,1,Hazardous during periods of high surf
