X,Y,objectid,feature_id,elev_in_m,elev_in_ft,map_name,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,primary_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec,date_created,date_edited
-175.82952880828978,27.82830810447043,1,358293,0,0,Unknown,Pearl and Hermes Atoll,Island,HI,15,Honolulu,3,274942N,1754946W,27.8282032,-175.8295288,,,,,2003-09-30T00:00:00.000Z,2012-11-15T00:00:00.000Z
-171.737487792794781,25.770874022954011,2,358294,3,10,Unknown,Laysan Island,Island,HI,15,Honolulu,3,254615N,1714415W,25.7708333,-171.7375,,,,,2003-09-30T00:00:00.000Z,
-159.77617691730336,22.069285950193436,3,358295,8,26,Kekaha,Barking Sands,Beach,HI,15,Kauai,7,220410N,1594635W,22.0693348,-159.7762728,,,,,1981-02-06T00:00:00.000Z,2012-06-26T00:00:00.000Z
-159.711479069897166,22.088084526020424,4,358296,685,2247,Kekaha,Hāʻeleʻele Ridge,Ridge,HI,15,Kauai,7,220517N,1594241W,22.087981,-159.711489,,,,,2003-09-30T00:00:00.000Z,
-159.744987809326574,22.094127270002815,5,358297,45,148,Kekaha,Hāʻeleʻele Valley,Valley,HI,15,Kauai,7,220539N,1594442W,22.0941057,-159.7449788,220518N,1594045W,22.088428,-159.679158,2003-09-30T00:00:00.000Z,2018-11-06T00:00:00.000Z
-159.670706864352752,22.113536231925899,6,358298,1096,3596,Kekaha,Halemanu,Summit,HI,15,Kauai,7,220648N,1594015W,22.1133742,-159.670701,,,,,2003-09-30T00:00:00.000Z,2012-06-11T00:00:00.000Z
-159.664969577351116,22.099497946495127,7,358299,493,1617,Waimea Canyon,Halemanu Stream,Stream,HI,15,Kauai,7,220558N,1593954W,22.0993387,-159.6650362,220720N,1593933W,22.122280,-159.659221,2003-09-30T00:00:00.000Z,2012-08-22T00:00:00.000Z
-159.702995384311862,22.018320552928426,8,358300,415,1362,Kekaha,Hauola Ridge,Ridge,HI,15,Kauai,7,220105N,1594211W,22.0181801,-159.7030592,,,,,2003-09-30T00:00:00.000Z,2012-06-26T00:00:00.000Z
-159.692985114763786,22.098887750447769,9,358301,878,2881,Kekaha,Hikimoe Ridge,Ridge,HI,15,Kauai,7,220556N,1594135W,22.0988815,-159.6929741,,,,,2003-09-30T00:00:00.000Z,2012-08-01T00:00:00.000Z
-159.743400861507268,22.103282615836829,10,358302,12,39,Kekaha,Hikimoe Valley,Valley,HI,15,Kauai,7,220612N,1594436W,22.1032081,-159.7434405,220603N,1594133W,22.100896,-159.692422,2003-09-30T00:00:00.000Z,2016-10-13T00:00:00.000Z
