X,Y,objectid,status,drawcode,id,name,type,acreage,desc1,desc2,desc3,juris,use,f_berths,f_moorings,f_ramps,f_parkstal,piers,cargo,bldgs,sewage_out,utilities,restrooms,constructe,modified,plans1,plans2,plans3,f_polygoni,f_scale,f_angle,harborpt_id
-155.07085560464273,19.721008571567186,1,0,1,50,Wailoa Sampan Basin and  SBH,1,4.974,"Basin within Hilo Bay, dock moorings and ramp",,,1,"1,3",0,55,2,0,no,?,?,?,?,?,1946,1976,?,,,0,1,0,1
-155.83166934383658,20.039010463388649,2,0,1,42,Kawaihae North,1,-9,Located in the commercial harbor,,,1,"1,3",0,12,1,0,yes,?,?,?,yes,?,1956,1959,?,,,0,1,0,2
-155.827878804259257,20.032652525852949,3,0,2,43,Kawaihae South,"3,6",4.72,Located in the commercial harbor in shallow water,,,1,"1,2,8,9",0,40,0,0,no,?,no,?,?,no,1950,1959,Relocate small craft to Kawaihe small boat harbor,dis-establish mooring area,,0,1,0,3
-155.82899398753645,20.028595953185601,4,0,1,41,Kawaihae SBH,1,-9,"Located south of commercial harbor, few moorings, 1 ramp",,,1,1,0,8,1,0,?,?,?,?,?,?,1970,1993,?,,,0,1,0,4
-155.919372772868996,19.473076171582267,5,0,1,46,Napoopoo Landing,4,0.77,Captain Cook Monument located here,,,2,4,0,0,1,0,no,?,no,?,no,no,pre-1880,?,?,,,0,1,0,5
-155.898706072827338,19.379448884872552,6,0,1,40,Kauhako Landing,4,0.05,Small wharf on edge of Hookena Park,,,5,4,0,0,1,0,no,?,?,?,?,?,pre-1898,?,?,,,0,1,0,6
-155.907178455683379,19.184984075338772,7,0,1,45,Milolii Landing,4,0.148,"Concrete boat landing, moorings, fish hoist",,,1,3,0,0,1,0,no,?,no,?,no,no,pre-1898,1990,?,,,0,1,0,7
-155.962491137673453,19.561554505252523,8,0,1,44,Keauhou SBH,1,0.879,"Well protected, with slips, moorings and ramps",,,1,"1,2,3",4,15,2,0,yes,?,?,?,yes,?,1950,1957,?,,,0,1,0,8
-155.996421849563831,19.638995225700434,9,0,2,38,Kailua-Kona,"1,4",1.386,"350 foot wharf, fishing crane, anchor moorings available",,,1,"2,5,6",11,0,1,0,?,?,yes,?,yes,yes,1915,1955,New comfort station and office,,,0,1,0,9
-156.026854208205805,19.66946128468463,10,0,1,36,Honokohau SBH,1,128.766,"Dredged channel with two basins, two rubble wave absorbers",and a wave trap,,1,"1,2",0,250,4,0,yes,?,yes,?,yes,yes,1972,1989,"Phase III expansion of south basin; Maritime-Industrial",subdivision,,0,1,0,10
