objectid,site_label,site_name,url,legislation,har_link,statute_link,mma_type,mma_designation,location,permitted,prohibited,exceptions_and_permits,penalty,additional_information,st_areashape,st_perimetershape
1,Waikīkī Marine Life Conservation District,Waikiki MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-waikiki/,HAR 13-36,http://dlnr.hawaii.gov/dar/files/2014/05/ch36.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD extends from the groin at the end of Kapahulu Avenue to the ewa (west) wall of the Natatorium, from the highwater mark seaward a distance of 500 yards or to the edge of the fringing reef, whichever is greater.","To possess in the water any knife and any shark billy, bang stick, powerhead or carbon dioxide injector. With a permit to engage in activities otherwise prohibited by law for scientific, propagation or other purposes.","To fish for, take or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life. To take or alter any sand, coral or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen.","The department may issue permits to engage in activities otherwise prohibited by law or section 13-36-2 under such terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, propagation, or other purposes any form of marine life or eggs thereof otherwise prohibited by law, or engage in any other prohibited activity; and provided that: (2) The board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit is revoked shall not be eligible to apply for another permit until the expiration of a specified period from the date of revocation as provided by law.","A person violating the provisions of this chapter, or the terms and conditions of any permit issued as provided by this chapter, shall be punished as provided by section 190-5, Hawaii Revised Statutes. ",,312830.977339246,2600.82257545105
2,Honolua - Mokulē‘ia Marine Life Conservation District,Honolua-Mokuleia Bay MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/maui-honolua-mokuleia/,HAR 13-32,http://dlnr.hawaii.gov/dar/files/2014/05/ch32.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD extends from the highwater mark seaward to a line from ‘Alaelae Point to Kalaepiha Point, then to the point at the northwestern corner of Honolua Bay.","To possess aboard any boat or watercraft any legal fishing gear and fish or other aquatic life taken outside of the District. To possess in the water any knife and any shark billy, bang stick, powerhead or carbon dioxide injector. With a permit, to bag and remove akule netted outside of the District, provided the net is moved only over the sandy bottom areas of the District, and to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in permitted activities above. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for that purpose.","A person may engage in the following activities otherwise prohibited by law and section 13-32-2, not inconsistent with chapter 190 and section 187A-6, Hawaii Revised Statutes, with a permit issued by the board under such terms and conditions as it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, propagation, or other purposes, any form of marine life, or eggs thereof otherwise prohibited by law, or engage in any other prohibited activity; and (2) To bag and remove akule (Trachurops crumenophthalmus) netted outside the marine life conservation district provided the net is moved only over the sandy bottom areas; provided that the board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation. ","A person violating theprovisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law. ",,186668.188391036,2855.48713630706
5,Wai‘ōpae Tidepools Marine Life Conservation District,Waiopae Tidepools MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-waiopae-tidepools/,HAR 13-38,http://dlnr.hawaii.gov/dar/files/2014/05/ch38.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is located adjacent to a private subdivision called Vacationland. Follow directions on all signs posted; enter tidepools only at the designated shoreline access and respect private property. The MLCD extends from the highwater mark at the shoreline, with the northern boundary next to the first two-story house on the beach north of the parking area, and extends south about 700 meters. Signs mark the boundaries.","With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take, or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for that purpose. To anchor or moor any vessel. To conduct commercial activities, including but not limited to commercial tours, dive groups, sightseeing tours, hikes, or guided services.","The department may issue permits to engage in activities prohibited by section 13-38-3 and as may be otherwise prohibited by law, provided that: (1) The department may impose terms and conditions it deems necessary to carry out the purpose of this chapter, including requiring a report or reports of any marine life taken from the area; (2) The permits may be issued for scientific, educational, propagation, cultural, or management purposes; (3) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (4) A person whose permit was revoked shall not be eligible to apply for another permit until the expiration of one year from the date of revocation. The department may issue the permit for a limited duration subject to the provisions of this section, but such duration shall not exceed one year from the date of issuance. The issuance of a permit shall not constitute a vested right to receive future or additional permits. The permits are non-transferable, unless otherwise allowed by the department. If the department determines that the protection and conservation of the aquatic life in the area requires the cessation of all or certain activities allowed under the permits, upon notification to the permit holders of this determination by any reasonable means, the permits shall automatically expire on a date provided in the notification. There is no right to a renewal or re-issuance of a permit. When reviewing an application for a permit, the department shall consider whether the applicant has previously violated or not complied with any term or condition of a permit and may deny the application on this basis. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, subject to administrative penalties, and punished as provided by law. ",,267212.756294825,2334.53923988175
3,Hanauma Bay Marine Life Conservation District,Hanauma Bay MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/oahu-hanauma-bay/,HAR 13-28,http://dlnr.hawaii.gov/dar/files/2014/05/ch28.pdf,N/A,MLCD,Marine Life Conservation District,The MLCD extends from the highwater mark seaward to a line across the bay’s mouth from Palea Point on the left to Pai‘olu‘olu Point on the right.,"To possess in the water a knife for personal safety. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take or injure any marine life (including eggs), or possess any device that may be used for the taking of marine life. To take or alter any sand, coral or other geological feature or specimen, or possess in the water any equipment that may be used for taking or altering a geological feature or specimen. To introduce any food or other substance into the water to feed or attract marine life. To operate any watercraft.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-28-2 for scientific, propagation, or other purposes in accordance with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation. ","A person violating the provisions of this rule or the terms and conditions of any permit issued as provided by this rule shall be guilty of a petty misdemeanor, and punished as provided by law.",,421060.689850596,3311.48109840172
4,Waialea Bay Marine Life Conservation District,Waialea Bay MLCD,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-waialea-bay/,HAR 13-35,http://dlnr.hawaii.gov/dar/files/2014/05/ch35.pdf,N/A,MLCD,Marine Life Conservation District,The MLCD extends from the highwater mark seaward to a line from the point immediately north of ‘Ōhai Point to Kānekanaka Point.,"To have or possess any fishing pole and hook-and-line, and to fish for, take or possess any finfish using such gear. To possess in the water any knife and any shark billy, bang stick, powerhead or carbon dioxide injector. With a permit to possess and use legal nets to fish for, take or possess finfishes over the sandy bottom areas within the District, and to engage in activities otherwise prohibited by law for scientific, propagation or other purposes.","To fish for, take or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life, except as indicated in permitted activities above. To take or alter any sand, coral or other geological feature or specimen, or possess in the water any device that may be used for the taking or altering of a geological feature or specimen. To engage or attempt to engage in fish feeding. To engage in lay net fishing.","The department may issue permits to engage in actlvities otherwise prohibited by law or section 13-35-2 under such terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes: (1) To take for scientific, propagation, or other purposes any form of marine life or eggs thereof otherwise prohibited by law, or engage in any other prohibited activity; and (2) To possess and use legal nets to fish for, catch, take, possess, or remove finfishes over the sandy bottom areas; and provided that: (3) The board may revoke any permit for any infraction of the terms and conditions of the permit, and a person whose permit is revoked shall not be eligible to apply for another permit until the expiration of a specified period from the date of revocation as provided by law. ","A person violating theprovisions of this chapter, or the terms and conditions of any penmit issued as provided by this chapter, shall be punished as provided by section 190-5, Hawaii Revised Statutes. ",,150997.699642338,2168.80942711419
6,Kealakekua Bay Marine Life Conservation District: Zone B,Kealakekua Bay MLCD: Zone B,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-kealakekua-bay/,HAR 13-29,http://dlnr.hawaii.gov/dar/files/2014/05/ch29.pdf,N/A,MLCD,Marine Life Conservation District,The MLCD extends from the highwater mark seaward to a line from Cook Point to Manini Beach Point. A line from Cook Point to the north end of Nāpō‘opo‘o Beach divides the district into Subzone A to the north and Subzone B to the south.,"Within Subzone B only, to fish for, take, or possess any finfish with or by the use of hook-and-line and thrownet, provided that any legal fishing device or method except traps may be used for the taking of akule, ‘ōpelu, and crustaceans. To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take, or injure marine life (including eggs), except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen. To engage or attempt to engage in fish feeding. Note: anchoring of boats is prohibited in Subzone A. In Subzone B anchors may only be dropped onto sand, or in such a way as to avoid damage to coral.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-29-2 for scientific, propagation or other purposes not inconsistent with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law. ",,767364.970184141,4580.24017930123
7,Kealakekua Bay Marine Life Conservation District: Zone A,Kealakekua Bay MLCD: Zone A,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-kealakekua-bay/,HAR 13-29,http://dlnr.hawaii.gov/dar/files/2014/05/ch29.pdf,N/A,MLCD,Marine Life Conservation District,The MLCD extends from the highwater mark seaward to a line from Cook Point to Manini Beach Point. A line from Cook Point to the north end of Nāpō‘opo‘o Beach divides the district into Subzone A to the north and Subzone B to the south.,"Within Subzone B only, to fish for, take, or possess any finfish with or by the use of hook-and-line and thrownet, provided that any legal fishing device or method except traps may be used for the taking of akule, ‘ōpelu, and crustaceans. To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take, or injure marine life (including eggs), except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen. To engage or attempt to engage in fish feeding. Note: anchoring of boats is prohibited in Subzone A. In Subzone B anchors may only be dropped onto sand, or in such a way as to avoid damage to coral.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-29-2 for scientific, propagation or other purposes not inconsistent with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law. ",,484854.97449494,4061.17019823744
9,Lapakahi Marine Life Conservation District: Zone A,Lapakahi MLCD: Zone A,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-lapakahi/,HAR 13-33,http://dlnr.hawaii.gov/dar/files/2014/05/ch33.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A includes Koai‘e Cove, and Subzone B includes the waters 500 feet outside of Subzone A and extending southward along the shoreline adjacent to the park, from the highwater mark to a distance of 500 feet offshore.","To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take, or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for that purpose. To engage or attempt to engage in fish feeding. To engage in lay net fishing.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-33-2 for scientific, propagation or other purposes not inconsistent with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (l) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation.","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law.",,119586.864973305,2295.90528256862
10,Mānele - Hulopo‘e Marine Life Conservation District: Zone B (Mānele Bay),Manele-Hulopoe MLCD: Zone B (Manele Bay),http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/lanai-manele-hulopoe/,HAR 13-30,http://dlnr.hawaii.gov/dar/files/2014/05/ch30.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A extends from the highwater mark seaward to a line from Kaluako‘i Point to Flat Rock, then to Pu‘u Pehe Rock. Subzone B extends from the highwater mark seaward to a line from Pu‘u Pehe Rock to Kalaeokahano Point.","To fish for, take, or possess any finfish or ‘a‘ama crab by pole-and-line from the shoreline only. To possess the following gear: pole-and-line, one knife, one hand net with frame no more than 3 feet in diameter (excluding handle), any legal fishing gear while on a vessel transiting to or from Mānele Boat Harbor within the harbor channel or the harbor, but that fishing gear may not be in the water. With a permit, to engage in activities otherwise prohibited by law for scientific, for propagation, or other purposes.","To fish for, take, or injure any marine life (including eggs), except as indicated in “Permitted activities” above. To take or alter any sand, coral, or other geological feature or specimen. To operate, anchor, or moor any vessel within Subzone A. (Manually-propelled Hawaiian outrigger canoes may be operated, but not anchored or moored, in the Subzone.) To operate, anchor, or moor a vessel in such a way as to damage marine life or geological features anywhere in the MLCD.","The department may issue permits to engage in activities otherwise prohibited by law and section 13-30-2 for scientific, propagation, or other purposes in accordance with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (1) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year from the date of revocation. ","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and punished as
provided by law.",,501539.728956975,5050.0736533741
8,Lapakahi Marine Life Conservation District: Zone B,Lapakahi MLCD: Zone B,http://dlnr.hawaii.gov/dar/marine-managed-areas/hawaii-marine-life-conservation-districts/hawaii-lapakahi/,HAR 13-33,http://dlnr.hawaii.gov/dar/files/2014/05/ch33.pdf,N/A,MLCD,Marine Life Conservation District,"The MLCD is divided into two subzones. Subzone A includes Koai‘e Cove, and Subzone B includes the waters 500 feet outside of Subzone A and extending southward along the shoreline adjacent to the park, from the highwater mark to a distance of 500 feet offshore.","Within Subzone B only, to fish for, take, or possess any ‘ōpelu by lift or ‘ōpelu net, or any finfish or crustacean by hook-and-line or thrownet. To possess in the water any knife and any shark billy, bang stick, powerhead, or carbon dioxide injector. With a permit, to engage in activities otherwise prohibited by law for scientific, propagation, or other purposes.","To fish for, take, or injure any marine life (including eggs), or possess in the water any device that may be used for the taking of marine life. To take or alter any sand, coral, or other geological feature or specimen, or possess in the water any device that may be used for that purpose. To engage or attempt to engage in fish feeding. To engage in lay net fishing. ","The department may issue permits to engage in activities otherwise prohibited by law and section 13-33-2 for scientific, propagation or other purposes not inconsistent with chapter 190 and section 187A-6, Hawaii Revised Statutes, provided that: (l) The board may impose terms and conditions it deems necessary to carry out the purpose of chapter 190, Hawaii Revised Statutes; (2) The board may revoke any permit for any infraction of the terms and conditions of the permit; and (3) A person whose permit was revoked shall not be eligible to apply for another permit until one year after the date of revocation.","A person violating the provisions of this chapter or the terms and conditions of any permit issued as provided by this chapter, shall be guilty of a petty misdemeanor, and upon conviction thereof, shall be punished as provided by law.",,429835.466919014,6034.52238333458
