objectid,trail_num,nah,island,quad,district,yrcreated,length_mi,elev_range,st_access,start_pt,end_pt,standard,climate,tspt_type,features,amenities,use_rest,hazards,comments,trailname,st_lengthshape
1,KA 06 007,Y,Kauai,06,Hanalei,1920s,2.29999995,1232,2-Wheel Drive,0.5 mi on Ohiki Road,Kaukaopua Peak,Moderate,"Mild, Wet",Foot,"Culture, Hike, Hunt, Nature Study","Shelters, Tables",Day,"Hunters, Landslides, Cliffs",Hanalei Natl. Wildlife Refuge. Closed.,Okolehao Trail,2867.0810467102
2,KA 03 029,Y,Kauai,03,"Hanalei, Waimea",1954,3.79999995,284,2-Wheel Drive,"End of Hwy 550, Puu O Kila Lookout",Kawaikoi Stream at Kawaikoi Camp,Moderate,"Cold, Wet",Foot,"Bio. Sens., Hike, Hunt, Nature Study, Stream","Camping, Parking, Shelters, Tables",Day,"Cliffs, flooding, hunters, footing",Camp by permit. Deep mud at Pihea peak.,Pihea Trail,5380.50995662515
3,KA 03 031,Y,Kauai,03,Waimea,1973,1.79999995,40,4-Wheel Drive,3.9 mi on Mohihi-Camp 10 Road,Same as start,Easy,"Cold, Wet",Foot,"Fish, Hike, Nature Study, Stream","Bench, Camping, Shelters, Tables, Toilets",Day,Flooding,Amenities and camping at trailhead.,Kawaikoi Stream Trail,2355.37945259009
12,KA 10 005,Y,Kauai,10,Kawaihau,1930s,2,960,2-Wheel Drive,Haleilio Road near end,Sleeping Giant (Nounou Mountain),Moderate,Mild,Foot,"Nature Study, Hike","Tables, Shelters",Day,Cliffs, ,Nounou Trail (East),2000.57886483946
4,KA 03 030,Y,Kauai,03,Waimea,Ancient,3.5,329,4-Wheel Drive,3.2 mi on Mohihi-Camp 10 Road,Kilohana on Wainiha Pali,Difficult,"Cold, Wet",Foot,"Bio. Sens., Hike, Hunt, Nature study, Stream","Parking, Shelter, Tables, Toilets",Day,"Hunters, Flooding, cliffs",Deep mud and fog along trail.,Alakai Swamp Trail,5524.66187130481
5,KA 01 012,Y,Kauai,01,Waimea,1970s,1.29999995,200,2-Wheel Drive,3.0 mi on Makaha Ridge Road,3.5 mi on Makaha Ridge Road,N/A,Mild,"Foot, 4WD","Hike, Hunt, Nature Study","Shelters, Tables, Toilets",Day,Hunters, ,Pine Forest Drive,1932.71263707516
6,KA 03 033,Y,Kauai,03,Waimea,1960s,0.30000001,80,4-Wheel Drive,4.5 mi on Mohihi-Camp 10 Road,Poomau Canyon Vista Point,Easy,"Mild, Wet",Foot,"Hike, Hunt, Nature Study, Scenic Viewpoint",None,Day,Hunters, ,Poomau Canyon Vista Trail,367.597626928184
7,KA 01 013,Y,Kauai,01,Waimea,1960s,1,226,4-Wheel Drive,0.04 mi on Pine Forest Drive,Makaha Forestry Arboretum,N/A,"Mild, Dry","Foot, 4WD","Hike, Hunt, Nature Study","Shelters, Tables, Toilets",Day,"Hunters, Cliffs", ,Makaha Arboretum Trail,1597.46476338721
8,KA 10 003,Y,Kauai,10 07,Kawaihau,1940s,2.5,680,2-Wheel Drive,End of Olohena Road,0.4 mi beyond Kuilau Trail end,Moderate,Mild,"Foot, Bicycle, Horse","Hiking, Nature Study, Hunting",None,Day,Hunters,No cars past 1.5 miles.,Moalepe Trail,3476.99845627601
13,KA 04 005,Y,Kauai,04,Waimea,1965,0.30000001,40,2-Wheel Drive,"8.7 mi on Hwy 550, Waimea Can. SP",Same as start,Easy,Mild,Foot,"Hike, Hunt, Nature Study","Parking, Shelters, Tables",Day,"Cliffs, footing",Excellent nature trail.,Iliau Nature Loop,490.35256542398
