X,Y,OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,LEGAL_ACRES,FIRST_BASEBALL,FIRST_SOFTBALL,FIRST_FOOTBALL,FIRST_SOCCER,FIRST_RUGBY,FIRST_BASKETBALL,FIRST_TENNIS,FIRST_VOLLEYBALL,FIRST_TETHERBALL,FIRST_GOLF,FIRST_COMM_GARDEN,FIRST_HIKING,FIRST_JOGGING,FIRST_EXERCIZE_FIELDS,FIRST_SKATING,FIRST_SKATEBOARDING,FIRST_OUTRIGGER_CANOE,FIRST_PICNICING,FIRST_CAMPING_TENT,FIRST_CAMPING_TRAILER,FIRST_CHILD_PLAYGROUND,FIRST_SWIMMING,FIRST_GYMNASTICS,FIRST_INDOOR_REC,FIRST_ART_WORK,FIRST_BLEACHER,FIRST_BUS_STOP,FIRST_COMM_GARDEN_PLOTS,FIRST_CONCESSION,FIRST_DRINKING_WATER,FIRST_EXERCISE_AREA,FIRST_HANDICAP_ACCESS,FIRST_HANDICAP_PARKING_STALLS,FIRST_HISTORIC_SITE,FIRST_LANDSCAPE,FIRST_LIFEGUARD_TOWERS,FIRST_LIGHTS,FIRST_PARKING_STALLS,FIRST_PAY_PHONE,FIRST_PICNIC_TABLES,FIRST_RESTROOM,FIRST_SHADE_TREE,FIRST_SHOWER,LANDWATCONSFUND,STAFFED,PHONE,TOTAL_ACRE,TOTAL_SQFT,TOTAL_ROOMS,MAINT_DIST,NEIGHBORHOOD,COUNCIL,FIRST_CITY,FIRST_NAME,FIRST_ZIP,FIRST_POOL_MANAGER,FIRST_POOL_PHONE,FIRST_POOL_ADDRESS
-157.857692975938306,21.325913375291616,1,1,17036010,5,Kunawai Springs,2,60,0.58999997,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,,,None    ,0.59,25700,,2,14,6,Honolulu  ,650 Kunawai Lane             ,96817   ,,,
-157.809980702254364,21.417744284105485,2,1,46031021,2,Heeia Neighborhood Park,4,183,3.97000003,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,T,F,F,F,F,F,F,T,F,T,F,T,T,T,F,T,T,F,,Y,233-7335,3.97,172933,,4,30,3,Kaneohe   ,46-220 Haiku Road            ,96744   ,,,
-157.880975865265981,21.339591241380205,3,1,13001059,3,Fern Community Park,2,70,2.1400001,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,T,T,F,F,T,T,F,F,T,T,F,,Y,832-7809,2.14,93218,,2,15,,Honolulu  ,1201 Middle Street           ,96819   ,,,
-157.862470371425616,21.344956111348129,4,1,13035001,3,Kalihi Uka Community Park,2,9,1.02999997,F,F,F,F,F,T,F,T,F,F,T,F,F,F,F,F,F,T,F,F,T,F,F,T,F,F,F,T,F,F,F,F,F,F,T,F,T,F,F,F,T,F,F,,Y,832-7807,1.03,44867,,2,16,6,Honolulu  ,2329 Kalihi Street           ,96819   ,,,
-157.83526009106231,21.341789049934508,5,1,19001001,12,Nuuanu Nursery,2,312,57.93999863,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,595-2972,57.94,2523866,,2,,6,Honolulu  ,3064 Pali Highway            ,96817   ,,,
-157.86414325856083,21.342581194702266,6,1,13027001,2,DeCorte Neighborhood Park,2,122,4.01999998,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,T,F,F,T,F,F,,,None    ,4.02,175111,,2,,6,Honolulu  ,1570 Perry Street            ,96819   ,,,
-157.847534617361958,21.334298190094461,7,1,18014001,3,Puunui Community Park,2,7,1.62,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,T,T,F,,Y,595-2460,1.62,70567,,2,14,6,Honolulu  ,2555 Puunui Avenue           ,96817   ,,,
-157.743328101692981,21.410104034199314,8,1,43018008,14,North Kalaheo Ave at Ainoni Street,4,147,0.20999999,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,0.21,,,4,31,,Kailua    ,Kalaheo Avenue & Ainoni Stree,96734   ,,,
-157.742545345405574,21.408573971128696,9,1,43017025,14,North Kalaheo Ave at Pueohala Place,4,177,0.18000001,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,0.18,,,4,31,,Kailua    ,Kalaheo Avenue & Pueohala Pla,96734   ,,,
-157.740523071977833,21.405244022247217,10,1,43017001,14,North Kalaheo Ave at Dune Street,4,175,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,,0.12,,,4,31,,Kailua    ,Kalaheo Avenue & Dune Street ,96734   ,,,
-158.220302960269663,21.478011128906175,11,1,84002047,7,Makaha Beach Park,3,129,20.62000084,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,T,T,T,T,T,,,None     ,20.62,898207,,3,,,Waianae  ,84-369 Farringto,96792    ,,,
-158.076583954649749,21.335676500239373,12,1,91016001,6,Kapolei Regional Park,3,260,69.38999939,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,T,F,F,F,T,F,T,T,T,F,,,None,69.39,3022628,,3,34,1,Kapolei,91-591 Farringto,96707,,,
-158.051851157657893,21.664026505731574,13,1,59020,14,Ke Nui Road F,4,219,0.06,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,,,None    ,0.06,2614,,4,27,2,Haleiwa   ,Ke Nui Road                  ,96712   ,,,
