X,Y,objectid,name,own,tmk,type
-159.352622793990662,21.958701688409267,1,Nawiliwili Beach Park,County,32004003,beach
-159.353332908575283,21.957991155562745,2,Nawiliwili Beach Park,County,32004003,beach
-159.589075932938385,21.915643353142983,3,Hanapepe Heights House Lots Park,State,18011023,
-159.331718995997392,21.993043547994684,4,Ahukini Recreation Pier State Park,State,37002011,state
-159.362571663844705,21.950095772848361,5,Niumalu Beach Park,County,32002001,beach
-159.560583195342389,21.89921657531584,6,park,private,22001004,
-159.447059175319538,22.223830152245469,7,Anini Beach Park,County,53005005,beach
-159.566348018181003,22.21981902635931,8,Haena Beach Park,County,59005019,beach
-159.49661275991599,22.213061046957449,9,Hanalei Beach Park,County,55001004,beach
-159.405652623613406,22.212394938012146,10,Kilauea Park,County,52008054,
-159.497654258875542,22.206713191337975,11,Hanalei Beach Park,County,55002019,beach
-159.501696891485921,22.203368722773568,12,Waioli Beach Park,State,55003021,beach
-159.503229904570134,22.202638350862973,13,Waioli Beach Park,State,55004002,beach
-159.506931665854495,22.202278884549951,14,Waioli Beach Park,State,55005020,beach
-159.299953156606108,22.14584037365978,15,Anahola Beach Park,State DHHL,48014006,beach
-159.306769603949391,22.136543728217124,16,park,State DHHL,48020067,
-159.347404148298978,22.09909567926012,17,Gore Park,County,46011004,
-159.314817874950251,22.085607081917512,18,Gore Park,State,46029001,
-159.352222515075312,21.99562390944936,19,Hanamaulu Park,County,37003009,
-159.341980538671493,21.993522154546778,20,Hanamaulu Beach Park,County,37003008,beach
-159.365280455737548,21.974484130651895,21,Lihue Park,State,36002003,
-159.364376092197546,21.971516172144948,22,park,County,36009038,
-159.373189079458825,21.970830340213631,23,park,County,36010054,
-159.393493641468865,21.967552509759415,24,park,County,33004020,
-159.523577768435274,21.929325766070615,25,Kalawai Park,County,24005013,
-159.526707206587645,21.925146457113488,26,Kalaheo Multipurpose & Recreation Center,State,23003008,
-159.522638494486586,21.922299894686994,27,Kalaheo Multipurpose & Recreation Center,County,23011001,
-159.528391665560378,21.915833009731323,28,Kukuiolono Park and Golf Course,private,23005008,
-159.4648928773872,21.907787377247669,29,Koloa Park,County,28005004,
-159.493811177590374,21.885436545835724,30,Spouting Horn Park,County,26003058,
-159.493326304454484,21.884825806557782,31,Spouting Horn Park,A&B Hawaii Inc.,26003019,
-159.761650629725636,22.082206010573287,32,Polihale State Park,State,12002024,state
-159.72296757062054,21.969478166629425,33,Kekaha Beach Park,State,13003001,beach
-159.716653153579529,21.970793303643823,34,Kekaha Playground,County,13002057,
-159.717736707482715,21.969460390478481,35,Kekaha Beach Park,County,13001002,beach
-159.66206044279707,21.957777590920731,36,public park,County,16004012,
-159.665636785173831,21.952918261556064,37,Waimea River Park,State,16006001,
-159.663629516996053,21.951395104021415,38,Russian Fort Elizabeth State Park,State,17005003,state
-159.588368811683068,21.909942565095701,39,Hanapepe Playground,State,19005048,
-159.593754873685981,21.905604769604341,40,Hanapepe Park,State,19009001,
-159.608199007284725,21.900451503127751,41,Salt Pond Park,State,18008043,
-159.592442351452945,22.200578541188438,42,Na Pali Coast State Park,State,,state
-159.645318611991826,22.171917518559685,43,Na Pali Coast State Park,State,59001002,state
-159.642529983002305,22.132424480368357,44,Kokee State Park,State,14001013,state
-159.671666047558546,22.082086689522139,45,Waimea Canyon State Park,State,14001002,state
-159.312165855665398,22.082198116637421,46,Kapaa Beach Park,State,45013001,beach
-159.313778165823265,22.078981084983216,47,Kapaa Beach Park,State,45012001,beach
-159.320158833473243,22.078773579480863,48,Kapaa New Park,State,45015032,
-159.313847838898425,22.079806858266252,49,Kapaa Beach Park,State,45012015,beach
-159.314790614365933,22.077664554415115,50,Kapaa Beach Park,County,45011045,beach
-159.316019407596769,22.077342868966468,51,Kapaa Park,County,45011006,
-159.316820816044896,22.075534648651537,52,Kapaa Beach Park,County,45011001,beach
-159.317274240083464,22.074029148891444,53,Kapaa Beach Park,State,45008001,beach
-159.317262834870576,22.072580545917855,54,Kapaa Beach Park,State,45007001,beach
-159.31672847323955,22.070103377039089,55,Kapaa Beach Park,State,45002001,beach
-159.367621841149258,22.056848380671912,56,Wailua Homesteads Park,County,42003018,
-159.363506403878148,22.041682290615139,57,Wailua River State Park,State,,state
-159.343275409093536,22.055450986809358,58,park,State,41016042,
-159.32878537080677,22.051667981012553,59,Waipouli Beach Park,State,43002001,beach
-159.339719974073859,22.049279319206907,60,,,,
-159.348264454347913,22.04899631064761,61,,,,
-159.343805511011368,22.047438964557319,62,,,,
-159.352420514586953,22.046199931432682,63,,,,
-159.360595115181098,22.044145430878942,64,,,,
-159.338863549297912,22.04366768472913,65,Wailua River State Park,State,,state
-159.35723523466902,22.04394590140695,66,,,,
-159.335845192116579,22.043157194548186,67,Wailua River State Park,State,,state
-159.367732782262522,22.036510331353039,68,,,,
-159.365100055037715,22.035086352567319,69,,,,
-159.340124001804043,22.027487843905156,70,Lydgate State Park,State,39002004,state
-159.363255123898398,21.992863550040333,71,Laukona Park,County,38013110,
-159.369716444029365,21.984545080230532,72,Isenberg Park,County,38015024,
-159.38981373502267,21.965422093079201,73,park,County,33005008,
-159.669177389898465,21.956589840931272,74,Captain Cooks Memorial Park,County,16010005,
-159.670541158253002,21.95510257026157,75,Waimea State Recreation Pier,State,,
-159.522993466514492,21.940534873363735,76,Wahiawa Mauka State Park Reserve,State,,state
-159.583078146063855,21.905032612587629,77,Eleele Park,County,21004049,
-159.473720575938302,21.881639246861276,78,Kuhio Memorial Park,private,26006002,
-159.453627415071708,21.873139976020148,79,Poipu Pavillion,County,28017001,
-159.581609683739629,22.221665362839452,80,Haena State Park,State,59008018,state
-159.586422393922589,22.215473886598105,81,Haena State Park,State,,state
-159.584889649241973,22.219624677076041,82,,,,
-156.05607063085003,20.671154524862626,83,,,,
-156.05836706213907,20.670658864077804,84,,,,
-156.117546710107689,20.77230348570318,85,Hanawi Natural Area Reserve,State,,natural area reserve
-156.167087096467185,20.722981947211778,86,Haleakala National Park,Federal,,national
-155.998892899029272,20.784273681207964,87,Wainapanapa State Park,State,,
-156.426360792583921,20.610708540393532,88,Ahihi-Kinau Natural Area Reserve,State,,natural area reserve
-156.607923910013426,20.921668376021223,89,Honokowai Natural Area Reserve,State,,natural area reserve
-156.614099314815491,20.889306017657038,90,West Maui Natural Area Reserve,State,,natural area reserve
-156.611649482838544,20.84090817046004,91,Lihau Natural Area Reserve,State,,natural area reserve
