objectid,name,own,tmk,type,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
1,Anini Beach Park,County,53005005,beach, , ,1899-12-30T00:00:00.000Z,{2DCCD1FD-4655-4C2C-B5D5-3120B4289745},,,,2016-09-13T00:00:00.000Z,,,,44844.0686591356,0
2,Haena State Park,State,59008018,state, , ,1899-12-30T00:00:00.000Z,{28CC0C03-98AA-4B30-99B3-DE4C68F2731C},,,,2016-09-13T00:00:00.000Z,,,,81223.1316380717,0
3,Haena Beach Park,County,59005019,beach, , ,1899-12-30T00:00:00.000Z,{9F9D1B96-CDE0-4F7B-847A-C220022F09DC},,,,2016-09-13T00:00:00.000Z,,,,22866.2771319823,0
4,Haena State Park,State,,state, , ,1899-12-30T00:00:00.000Z,{02F07C17-A82F-4F16-B893-80291DFEB723},,,,2016-09-13T00:00:00.000Z,,,,746212.064428308,0
5,,,,, , ,1899-12-30T00:00:00.000Z,{BF444FF1-1F7B-409C-BDE2-0A0A7BD16467},,,,2016-09-13T00:00:00.000Z,,,,2750.80958362561,0
6,Hanalei Beach Park,County,55001004,beach, , ,1899-12-30T00:00:00.000Z,{11C667C8-010D-4701-8365-954257A0E2C8},,,,2016-09-13T00:00:00.000Z,,,,10292.744671709,0
7,Kilauea Park,County,52008054,, , ,1899-12-30T00:00:00.000Z,{55C8B67B-EAD6-4D48-AABD-A8CCF4950DE2},,,,2016-09-13T00:00:00.000Z,,,,18735.5191550699,0
13,Na Pali Coast State Park,State,59001002,state, , ,1899-12-30T00:00:00.000Z,{58C92010-2E05-4EC4-BE30-1FDF5A34D843},,,,2016-09-13T00:00:00.000Z,,,,19666757.2258768,0
14,Kokee State Park,State,14001013,state, , ,1899-12-30T00:00:00.000Z,{45779664-2F06-4056-8EEF-61F499B5C9A1},,,,2016-09-13T00:00:00.000Z,,,,17628004.329873,0
15,Anahola Beach Park,State DHHL,48014006,beach, , ,1899-12-30T00:00:00.000Z,{F968EFCC-2FE5-46CE-9836-543E4FBCA0A6},,,,2016-09-13T00:00:00.000Z,,,,6145.83697170217,0
16,park,State DHHL,48020067,, , ,1899-12-30T00:00:00.000Z,{8D34429F-D8A4-447B-B7C0-E81CD9CC5F4B},,,,2016-09-13T00:00:00.000Z,,,,20003.6510020292,0
17,Waimea Canyon State Park,State,14001002,state, , ,1899-12-30T00:00:00.000Z,{FD6CB182-32DF-4E24-977A-4D8C76CA2F5A},,,,2016-09-13T00:00:00.000Z,,,,7386954.87099389,0
18,Gore Park,County,46011004,, , ,1899-12-30T00:00:00.000Z,{8C68A469-FF25-48ED-8F37-504B7B8E962A},,,,2016-09-13T00:00:00.000Z,,,,16492.5036242338,0
48,Ahukini Recreation Pier State Park,State,37002011,state, , ,1899-12-30T00:00:00.000Z,{0B4F6137-90E5-4E9B-A532-A35876839523},,,,2016-09-13T00:00:00.000Z,,,,4623.29155692569,0
8,Na Pali Coast State Park,State,,state, , ,1899-12-30T00:00:00.000Z,{DA2E9E3F-2CF9-46CE-B05C-DCF99C9C1A56},,,,2016-09-13T00:00:00.000Z,,,,4637280.37129814,0
9,Hanalei Beach Park,County,55002019,beach, , ,1899-12-30T00:00:00.000Z,{6C64A900-BC63-41B8-AA1B-A4D7120B0DCB},,,,2016-09-13T00:00:00.000Z,,,,5514.29659467072,0
10,Waioli Beach Park,State,55003021,beach, , ,1899-12-30T00:00:00.000Z,{E9AC0C31-CFE0-49C3-8429-CF5E3C25E065},,,,2016-09-13T00:00:00.000Z,,,,9367.40865740803,0
11,Waioli Beach Park,State,55004002,beach, , ,1899-12-30T00:00:00.000Z,{E5C675D0-3CED-4D3C-8333-228CB7DD6182},,,,2016-09-13T00:00:00.000Z,,,,10925.4114439072,0
12,Waioli Beach Park,State,55005020,beach, , ,1899-12-30T00:00:00.000Z,{65163AD3-2D8F-419B-93DC-11FBDABEA554},,,,2016-09-13T00:00:00.000Z,,,,5344.89312359767,0
19,Polihale State Park,State,12002024,state, , ,1899-12-30T00:00:00.000Z,{0305800C-300E-496A-B5FD-E054154DEE74},,,,2016-09-13T00:00:00.000Z,,,,600201.238451762,0
20,Gore Park,State,46029001,, , ,1899-12-30T00:00:00.000Z,{A4EC3683-F263-43A8-A36A-797030EF7751},,,,2016-09-13T00:00:00.000Z,,,,3035.80348591872,0
21,Kapaa Beach Park,State,45013001,beach, , ,1899-12-30T00:00:00.000Z,{3F94B9E7-C03F-487C-BE16-DFA61B768F9E},,,,2016-09-13T00:00:00.000Z,,,,1688.43588847988,0
22,Kapaa Beach Park,State,45012001,beach, , ,1899-12-30T00:00:00.000Z,{4D1D7C80-D92C-4F34-BFA3-B228529E20B0},,,,2016-09-13T00:00:00.000Z,,,,14480.0887326713,0
23,Kapaa New Park,State,45015032,, , ,1899-12-30T00:00:00.000Z,{E8A80FB6-A7BC-4C3B-BAC1-28F9E524D03A},,,,2016-09-13T00:00:00.000Z,,,,73582.0188726898,0
24,Kapaa Beach Park,State,45012015,beach, , ,1899-12-30T00:00:00.000Z,{E98D6D19-B4B8-4CD1-9491-EAAAEFBF6B51},,,,2016-09-13T00:00:00.000Z,,,,3343.06971869939,0
25,Kapaa Beach Park,County,45011045,beach, , ,1899-12-30T00:00:00.000Z,{823C7211-3E7C-4A3A-9439-EDA0989AF404},,,,2016-09-13T00:00:00.000Z,,,,3506.7464377887,0
26,Kapaa Park,County,45011006,, , ,1899-12-30T00:00:00.000Z,{DB5ECEA1-E9F5-4401-B506-E776504062DF},,,,2016-09-13T00:00:00.000Z,,,,16976.3631387638,0
27,Kapaa Beach Park,County,45011001,beach, , ,1899-12-30T00:00:00.000Z,{59A9C54A-049E-4B80-990C-CB9B2918DECE},,,,2016-09-13T00:00:00.000Z,,,,10970.9667473404,0
28,Kapaa Beach Park,State,45008001,beach, , ,1899-12-30T00:00:00.000Z,{8BAFD0A1-6C92-484D-A165-44A88416C3D9},,,,2016-09-13T00:00:00.000Z,,,,15476.574338599,0
29,Kapaa Beach Park,State,45007001,beach, , ,1899-12-30T00:00:00.000Z,{6A6657AD-2289-4827-9BAF-26A38C8576A7},,,,2016-09-13T00:00:00.000Z,,,,12500.0136102045,0
