OBJECTID_1,ISLAND,TYPE,NAME,MANAGEDBY,NOTES,ShapeSTArea,ShapeSTLength
1,Oahu,nar,KAALA NATURAL AREA RESERVE,DOFAW, ,47354642.4542847,40531.9244189306
2,Oahu,sm,KUKANILOKO BIRTHSTONES STATE MONUMENT,DOSP, ,217800.510818481,1930.00188686796
3,Oahu,fr,WAIANAE KAI FOREST RESERVE,DOFAW, ,101485068.626831,79773.3676077015
4,Oahu,nwr,OAHU FOREST NATIONAL WILDLIFE REFUGE,USFWS, ,200470150.521484,63003.1903002238
5,Oahu,sra,WAHIAWA FRESHWATER STATE RECREATION AREA,DOSP, ,2924329.92599487,10231.3402026301
6,Oahu,fr,WAIAHOLE FOREST RESERVE (WAIAHOLE SEC),DOFAW, ,53902608.8369293,39873.7588606824
7,Oahu,bs,MOKUMANU ISLET SEA BIRD SANCTUARY,DOFAW,<Null>,662292.673675537,3617.56989828415
8,Oahu,bs,KEKEPA ISLAND SEA BIRD SANCTUARY,DOFAW, ,30335.1139373779,666.991509945127
9,Oahu,fr,EWA FOREST RESERVE (WAIMANO SEC.),DOFAW, ,111072038.573959,60556.0961902235
10,Oahu,sp,HEEIA STATE PARK,DOSP, ,571599.000915527,6045.7886385058
11,Oahu,bs,MOKOLEA ROCK SEA BIRD SANCTUARY,DOFAW, ,21267.6456451416,588.659041144863
12,Oahu,fr,WAIAHOLE FOREST RESERVE (IOLEKAA SEC),DOFAW, ,11299381.1839752,16679.2366688783
13,Oahu,fr,KANEOHE FOREST RESERVE,DOFAW, ,2797156.87666321,8725.78167313523
14,Oahu,sra,KEAIWA HEIAU STATE RECREATION AREA,DOSP, ,16785735.3656616,21784.0348267706
15,Oahu,bs,POPOIA ISLAND SEA BIRD SANCTUARY,DOFAW, ,163023.156585693,1628.50614588092
16,Oahu,bs,MOKULUA ISLAND SEA BIRD SANCTUARY,DOFAW, ,928387.194107056,5771.2676277754
17,Oahu,nwr,PEARL HARBOR NATIONAL WILDLIFE REFUGE (MID LOCH),USFWS, ,896616.634918213,3792.87991624107
18,Oahu,sm,ULU PO HEIAU STATE MONUMENT,DOSP, ,61212.5928039551,961.836665336474
19,Oahu,sra,AIEA BAY STATE RECREATION AREA,DOSP, ,267753.383056641,4780.37779679605
20,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,196664624.291,172898.826175868
21,Oahu,fr-sm,MT OLOMANA STATE MONUMENT/WAIMANALO FOREST RESERVE,DOFAW, ,9123618.46672058,14241.909549018
22,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,1183493.12093353,6262.69461196476
23,Oahu,sw,NUUANU PALI STATE WAYSIDE,DOSP, ,144406.504600525,2540.93862764321
24,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,27823.9511795044,722.929225947952
25,Oahu,xxx,HONOULIULI,DOFAW,EO waiting,210410543.606285,108173.529366379
26,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,101978.1770401,1964.33678043889
27,Oahu,nwr,PEARL HARBOR NATIONAL WILDLIFE REFUGE (W LOCH),USFWS, ,1346564.95848846,5849.71894869503
28,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,2545477.71295929,7136.98676828559
29,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,44584407.1367416,80329.4124544011
30,Oahu,bs,MANANA ISLAND SEA BIRD SANCTUARY,DOFAW, ,2910614.29260254,6479.12295623661
31,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,204304.460830688,2868.76798288492
32,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,670942.767036438,3690.93801089514
33,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,43342773.5932159,35598.1027302316
34,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,66541.6904296875,1597.10877511538
35,Oahu,sm,ROYAL MAUSOLEUM STATE MONUMENT,DOSP, ,287365.866127014,4973.10713028085
36,Oahu,fr,KULIOUOU FOREST RESERVE,DOFAW, ,9347983.07752228,17192.3974328691
37,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,6282765.25300598,12697.1333624747
38,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,1082168.93247223,4203.25476405137
39,Oahu,bs,KAOHIKAIPU ISLAND SEA BIRD SANCTUARY,DOFAW, ,448218.620765686,3079.89002568153
40,Oahu,sp,PUU UALAKAA STATE PARK,DOSP, ,3623497.81839752,8876.03590640807
41,Oahu,sra,MAKIKI VALLEY STATE RECREATION AREA,DOSP, ,844769.313865662,8188.5053848232
42,Oahu,sra,SAND ISLAND STATE RECREATION AREA,DOSP, ,6285313.52941132,23363.8984261756
43,Oahu,sw,MAKAPUU POINT STATE WAYSIDE,DOSP, ,1558214.93567657,6368.30357880038
44,Oahu,sra,WAAHILA RIDGE STATE RECREATION AREA,DOSP, ,2154697.7416153,8092.25517182737
45,Oahu,sm,IOLANI PALACE STATE MONUMENT,DOSP, ,478044.854522705,2696.12043561979
46,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,1223679.23034668,6058.25920055637
47,Oahu,sxp,KAKAAKO WATERFRONT PARK,DOSP, ,1652244.0714035,9158.92202027473
48,Oahu,fr,WAIMANALO FOREST RESERVE,DOFAW, ,100509.678535461,1388.41902171257
49,Oahu,s,KA IWI SCENIC SHORELINE,DOSP, ,14093541.4158173,22225.0545816377
50,Oahu,sxp,KEWALO BASIN PARK,DOSP, ,227090.756278992,3497.290746933
51,Oahu,ws,PAIKO LAGOON WILDLIFE SANCTUARY,DOFAW, ,1716948.06918335,6080.56339892552
52,Oahu,sxp,HANAUMA BAY STATE UNDERWATER PARK,DOSP, ,4384055.67863083,10092.869056169
53,Oahu,sm,DIAMOND HEAD STATE MONUMENT,DOSP, ,21904182.4979668,22857.3403421008
54,Oahu,nar,KAENA POINT NATURAL AREA RESERVE,DOFAW, ,3306045.83158875,18552.7821862202
55,Oahu,nwr,PEARL HARBOR NAT'L WILDLIFE REFUGE (KALAELOA),USFWS, ,1675538.5478363,5826.18367940477
56,Oahu,fr,PUPUKEA-PAUMALU FOREST RESERVE,DOFAW, ,34080537.7631836,27567.192815845
57,Oahu,fr,MAKUA KEAAU FOREST RESERVE,DOFAW, ,62293726.8326111,45172.1685967895
58,Oahu,fr,HONOLULU WATERSHED FOREST RESERVE,DOFAW, ,196112103.5392,93545.5459712341
59,Oahu,p,FREEMAN SEABIRD PRESERVE,National Audubon Society, ,42077.2842140198,1087.01239404747
60,Oahu,ws,HAMAKUA MARSH WILDLIFE SANCTUARY,DOFAW,<Null>,989602.125869751,7408.59203964002
61,Oahu,ws,POUHALA MARSH WILDLIFE SANCTUARY,DOFAW,<Null>,5781260.62482452,21846.082618897
62,Oahu,xxx,HAMAKUA MARSH,(DOFAW),EO waiting,2981567.3288269,10128.0479437293
63,Oahu,bs,KAPAPA ISLAND SEA BIRD SANCTUARY,DOFAW, ,393132.882598877,2815.95628691239
64,Oahu,xxx,KAHUKU MOTOCROSS,DOFAW/US Army, ,37334610.3016663,27791.6837392711
65,Oahu,fr,NANAKULI FOREST RESERVE,DOFAW, ,34170324.3423538,34593.8948682839
66,Oahu,fr,ROUND TOP FOREST RESERVE,DOFAW, ,4512926.90773773,17055.3532774014
67,Oahu,nwr,JAMES CAMPBELL NAT WILDLIFE REFUGE (PUNAMANO),USFWS, ,1619306.93286133,6256.33781940546
68,Oahu,nwr,JAMES CAMPBELL NATIONAL WILDLIFE REFUGE (KII),USFWS, ,4531663.45770264,8280.23920119202
