X,Y,objectid,map_id,name,latitude,longitude,parcel_own,parcel_ope,access_typ,access_sur,dedicated_,shore_type,restroom,showers,picnic_fac,trash_rece,water,phone,lifeguard,alt_name,sign_word
-157.863510597227673,21.294018794689531,1,1,Kaka'ako Waterfront Park,21.294022,-157.863525,Hawaii Community Development Authority,Hawaii Community Development Authority,Vertical and Horizontal,Grass,270,"Rock, Cliff",Yes,Yes,Yes,Yes,Yes,No,No,Kaka'ako Waterfront Park,Kaka'ako Waterfront Park
-157.858666157672758,21.291452134733156,2,2,Kewalo Basin Park,21.291456,-157.858681,Hawaii Community Development Authority,Hawaii Community Development Authority,Vertical and Horizontal,Grass,90,"Rock, Cliff",Yes,Yes,Yes,Yes,Yes,No,No,Kewalo Basin Park,Kewalo Basin Park
-157.844982816787109,21.287460465037494,3,3,Ala Moana Regional Park,21.287464,-157.844997,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,800,"Sand, Rock",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Ala Moana Regional Park and Magic Island,Ala Moana Regional Park
-157.837145596683968,21.28125657491918,4,4,Duke Paoa Kahanamuku Beach Park,21.28126,-157.83716,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Paved,0,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Hilton Hawaiian Village,"145A, Duke Paoa Kahanamuku Beach Park"
-157.833695596306569,21.278166574115755,5,5,Fort Derussy,21.27817,-157.83371,United States of America,United States of America,Vertical and Horizontal,Paved,0,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fort Derussy,Fort Derussy
-157.832025596007384,21.278656574188251,6,6,Kalia Road,21.27866,-157.83204,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Paved,0,Sand,No,No,No,No,No,No,No,Kalia Road,"141A, Beach Right Of Way"
-157.822295595935202,21.270186573822215,7,7,Kuhio Beach Park,21.27019,-157.82231,State of Hawaii and City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Paved,0,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Waikiki,Kuhio Beach Park
-157.822285595733916,21.270166574131974,8,8,Kapi'olani Regional Park,21.27017,-157.8223,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Queens; Kaimana Beach",Kuhio Beach Park
-157.821355595186645,21.263976573235716,9,9,Kaimana Beach,21.26398,-157.82137,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Sans Souci Beach,Various
-157.818825595759336,21.25902657312086,10,10,Tonggs,21.25903,-157.81884,Kozan Company,Kozan Company,Vertical and Horizontal,Sand,0,Rock,No,No,No,No,No,No,No,Tonggs,Waikiki - Diamond Head Fisheries Management Area
