trailname,island,district,length_mi,elev_range,start_pt,end_pt,standard,climate,amenities
Okolehao Trail,Kauai,Hanalei,2.29999995,1232,0.5 mi on Ohiki Road,Kaukaopua Peak,Moderate,"Mild, Wet","Shelters, Tables"
Pihea Trail,Kauai,"Hanalei, Waimea",3.79999995,284,"End of Hwy 550, Puu O Kila Lookout",Kawaikoi Stream at Kawaikoi Camp,Moderate,"Cold, Wet","Camping, Parking, Shelters, Tables"
Kawaikoi Stream Trail,Kauai,Waimea,1.79999995,40,3.9 mi on Mohihi-Camp 10 Road,Same as start,Easy,"Cold, Wet","Bench, Camping, Shelters, Tables, Toilets"
Nounou Trail (East),Kauai,Kawaihau,2,960,Haleilio Road near end,Sleeping Giant (Nounou Mountain),Moderate,Mild,"Tables, Shelters"
Alakai Swamp Trail,Kauai,Waimea,3.5,329,3.2 mi on Mohihi-Camp 10 Road,Kilohana on Wainiha Pali,Difficult,"Cold, Wet","Parking, Shelter, Tables, Toilets"
Pine Forest Drive,Kauai,Waimea,1.29999995,200,3.0 mi on Makaha Ridge Road,3.5 mi on Makaha Ridge Road,N/A,Mild,"Shelters, Tables, Toilets"
Poomau Canyon Vista Trail,Kauai,Waimea,0.30000001,80,4.5 mi on Mohihi-Camp 10 Road,Poomau Canyon Vista Point,Easy,"Mild, Wet",None
Makaha Arboretum Trail,Kauai,Waimea,1,226,0.04 mi on Pine Forest Drive,Makaha Forestry Arboretum,N/A,"Mild, Dry","Shelters, Tables, Toilets"
Moalepe Trail,Kauai,Kawaihau,2.5,680,End of Olohena Road,0.4 mi beyond Kuilau Trail end,Moderate,Mild,None
Iliau Nature Loop,Kauai,Waimea,0.30000001,40,"8.7 mi on Hwy 550, Waimea Can. SP",Same as start,Easy,Mild,"Parking, Shelters, Tables"
Kuilau Trail,Kauai,Kawaihau,2.0999999,640,Keahua Arboretum on Hwy 580,Moalepe Trail,Moderate,Mild,"Bridges, Parking, Shelters, Tables, Toilets"
Koaie Canyon Trail,Kauai,Waimea,3,720,1/2 mile up Waimea River,Lonomea Camp,Moderate,Mild,"Camping, Shelters, Tables, Toilets"
Nounou Trail (West),Kauai,Kawaihau,1.5,800,Hwy 581,Sleeping Giant (Nounou Mountain),Difficult,Mild,"Tables, Shelters"
Onomea Old Government Road,Hawaii,South Hilo,0.5,15,Rain shelter in Botanical Garden,Onomea Bay Shoreline near stream,Easy,Mild,"Toilet, Table, Bridge, Shelter, Wheelchair"
