OBJECTID,PARK_TYPE,PARK_NAME,LEGAL_ACRES,ShapeSTArea,ShapeSTLength
1,Neighborhood Park,Kapolei Green Neighborhood Park,5.62,244702.4057,1981.050582
2,Community Park,Kamokila Community Park,5.88999987,260209.2167,2242.215542
3,Botanical Garden,Wahiawa Botanical Garden,26.52000046,1155332.167,9161.595864
4,District Park,George Fred Wright Wahiawa District Park,10.01000023,392086.2688,3775.887329
5,Neighborhood Park,Kaala Neighborhood Park,2.16000009,95197.18636,1247.7382
6,Beach ROW,Makau Street B,0.02,951.0705872,361.4675976
7,Beach Park,Waiahole Beach Park (undeveloped),14.86999989,877596.4873,8432.993753
8,Nature Park/Reserve,Waihee Valley Nature Park (undeveloped),149.5500031,6494333.918,13924.94895
9,Neighborhood Park,Kahua O Waikalua NP (future),15.64999962,681741.7328,3384.046369
10,Beach ROW,Kaluanui on Kam Hwy A,0.20999999,20396.34857,1464.009532
11,Beach ROW,Kaluanui on Kam Hwy B,0.13,5895.767593,458.0190262
12,Beach ROW,Kaalaea (undeveloped),0.44,19118.41399,829.3748018
13,Beach ROW,Makau Street A,0.02,1139.508133,372.776802
14,Beach ROW,Upena Street,0.01,1006.038849,348.4654379
15,Beach ROW,Moua Street,0.02,1132.715149,384.620087
16,Neighborhood Park,Melemanu Neighborhood Park,4.03999996,178297.7716,1675.046465
17,Neighborhood Park,Kaomaaiku Neighborhood Park,12.38000011,534797.3866,3138.119493
18,Golf Course,Pali Golf Course,215.8800049,9404354.954,16079.93811
19,Beach ROW,Alaihi St,0.005,1930.681015,329.3204322
20,Beach ROW,Puuone St,0.005,1448.438141,321.7934709
21,Beach ROW,Wailea St,0.005,1359.693459,320.5053027
22,Mini Park,Ieie Mini Park,0.11,5009.78643,349.7210951
23,Neighborhood Park,Maunawili Neighborhood Park,4.21000004,178122.7363,1924.719499
24,Neighborhood Park,Keolu Hills Neighborhood Park,6.34000015,278665.8295,2681.533981
25,Beach Park,Sunset Point Beach Park (undeveloped),0.93000001,41986.22888,984.4098156
26,Community Park,Manana Community Park and Youth Facility,8,611243.5059,3069.334796
27,Golf Course,Ala Wai Golf Course Driving Range,7,305144.9876,2290.268515
28,Golf Course,Ala Wai Golf Course Club House,0.89999998,39639.22192,1040.269152
29,Neighborhood Park,Mililani Neighborhood Park,5,220967.6618,1990.208197
30,Mini Park,Kamalii Mini Park,0.68000001,31242.56173,963.4171604
31,Mini Park,Fort Street Mall Mini Park,0.16,6759.454323,361.5285065
32,Mall,Union Street Mall,0.36000001,16410.37794,914.6153535
33,Beach ROW,Oneula Place,0.03,1442.555748,494.8235396
34,Mini Park,Archie Baker Mini Park,1.25999999,92266.31432,1637.21406
35,Community Park,Dole Community Park,4.57999992,201441.1702,1832.649286
36,Mini Park,Robert W. Wilcox Mini Park,0.31999999,13979.55082,515.3779764
